run,E_modulus,func_ratio,cell_surface_coverage,cell_sense_distance,R_func_mean,R_inert_mean,Lxy,Lz,N_est,constraint
1,17.5571,0.998389,1.02766,51.6888,78.258,72.4838,1013,699,250,N_target
2,46.6628,0.991291,1.37383,72.1284,56.0132,79.4443,732,732,371,min_image
3,36.3396,0.376323,0.507424,53.7457,83.8206,72.3288,940,740,250,N_target
4,45.679,0.391095,1.14237,66.3707,110.974,107.631,1423,954,250,N_target
5,25.5808,0.606285,0.939023,29.9725,41.8259,74.5937,672,672,469,min_image
6,41.7822,0.257564,0.851012,29.718,80.8661,116.021,1261,978,250,N_target
7,20.509,0.338269,1.32125,77.2042,101.203,103.566,1328,921,251,N_target
8,28.6422,0.583764,1.34886,48.9521,64.6241,117.124,987,987,390,min_image
9,18.6245,0.677806,1.45189,46.5884,110.632,40.6021,938,938,733,uncappable
10,22.247,0.789297,1.01076,71.7751,89.5128,84.0824,1129,806,250,N_target
11,37.1553,0.666694,1.0625,56.572,111.373,90.3734,1303,944,250,N_target
12,34.7672,0.942567,0.85635,49.9057,114.573,102.025,1507,968,250,N_target
13,13.5257,0.956459,1.14556,72.3137,73.3746,52.0212,893,688,250,N_target
14,28.5073,0.713172,1.46359,39.354,81.8051,81.1628,1059,725,250,N_target
15,44.8363,0.529197,1.43505,43.1976,106.493,64.3489,908,908,277,min_image
16,41.2848,0.623247,1.23529,79.2517,113.744,84.8205,1198,1000,250,N_target
17,49.1489,0.559367,0.785066,62.4202,102.83,68.0049,939,886,250,N_target
18,29.1353,0.489766,1.08617,46.3797,77.8275,43.6572,696,696,403,min_image
19,10.961,0.905366,0.806721,34.8986,62.9611,41.3876,718,586,250,N_target
20,18.5033,0.411869,1.19458,43.8336,65.9073,111.673,947,947,264,min_image
21,40.3453,0.419491,0.698225,57.87,45.9916,83.3204,736,736,354,min_image
22,46.0008,0.864721,0.582635,79.5325,79.2166,56.8631,901,745,250,N_target
23,19.2689,0.45884,1.03392,62.9091,72.513,61.7558,804,662,250,N_target
24,9.18626,0.563756,0.542895,78.0012,46.8861,91.4588,833,833,583,min_image
25,22.6488,0.831134,0.556349,44.4897,103.56,96.0087,1341,887,250,N_target
26,30.7396,0.718725,0.641909,73.0102,58.0743,64.9897,713,627,250,N_target
27,45.1808,0.93036,0.629082,37.3591,41.3783,53.9383,519,519,316,min_image
28,42.602,0.508875,1.48631,57.4689,82.4139,101.762,1116,873,250,N_target
29,45.8911,0.347886,1.08315,26.962,99.5461,86.0169,1126,856,250,N_target
30,30.3472,0.291936,0.863151,28.9497,113.275,55.8028,958,958,628,uncappable
31,42.5478,0.985125,0.985747,41.9061,89.7102,101.349,1117,870,251,N_target
32,15.8193,0.253864,1.17669,65.0384,86.3354,97.3802,1209,851,250,N_target
33,5.34034,0.351357,1.27179,67.4964,59.8538,45.0815,578,578,281,min_image
34,19.7824,0.220676,0.7265,78.9044,67.9174,110.102,1092,973,250,N_target
35,6.77422,0.953747,0.979608,56.2364,46.7019,45.7086,571,466,250,N_target
36,26.1733,0.869794,1.07775,33.5058,50.6745,70.6873,643,643,313,min_image
37,20.415,0.514035,0.814112,38.1424,116.629,54.2501,983,983,533,min_image
38,32.0251,0.544867,0.521294,49.192,68.2578,71.4587,883,649,250,N_target
39,33.3243,0.392452,1.03992,54.4391,106.159,51.2565,906,906,600,min_image
40,3.01483,0.282525,1.36352,47.1116,81.5654,83.0259,1071,734,250,N_target
41,12.8542,0.640215,1.05503,72.6545,44.3268,94.2209,842,842,778,uncappable
42,30.2212,0.24818,0.914411,65.9461,55.7822,116.442,993,993,312,min_image
43,27.2433,0.218063,1.44463,43.4179,107.702,77.2265,933,917,250,N_target
44,17.8838,0.44144,0.928834,44.7483,74.168,112.886,1033,955,250,N_target
45,43.4091,0.903198,1.31243,27.7951,67.2497,55.2568,826,617,249,N_target
46,26.8414,0.533206,1.21,26.6788,46.1573,98.1634,847,847,599,min_image
47,14.1707,0.742937,0.923345,30.2592,58.5571,67.4645,730,620,250,N_target
48,12.5321,0.287046,0.89556,62.6361,56.5032,104.572,899,899,269,min_image
49,21.5978,0.686657,1.00193,35.2767,64.0428,118.228,995,995,462,min_image
50,24.9193,0.970012,1.29944,31.4848,104.196,90.5169,1367,891,250,N_target
51,49.754,0.945939,0.874954,76.9105,115.3,76.272,1418,1007,250,N_target
52,37.6241,0.366433,0.716942,42.7849,48.3818,44.4029,547,478,250,N_target
53,39.0771,0.63246,1.12071,47.5871,68.6402,44.1722,628,628,257,min_image
54,23.0966,0.475659,0.637256,21.552,117.047,99.3174,1350,986,250,N_target
55,20.1907,0.889009,1.22245,58.2578,79.1671,113.273,958,958,274,min_image
56,46.2474,0.936473,0.745448,34.1953,83.3154,110.639,978,938,250,N_target
57,15.6408,0.380336,0.885351,60.1978,63.3731,68.4367,834,627,250,N_target
58,14.3975,0.913407,0.586978,55.3973,42.9284,76.5771,687,687,637,uncappable
59,49.0324,0.550594,0.578822,56.6815,111.969,106.635,1438,949,251,N_target
60,21.3957,0.925359,1.16354,76.478,103.761,73.0398,1262,921,250,N_target
61,26.3222,0.852075,1.27611,69.5652,40.0357,85.4477,771,771,1038,uncappable
62,39.9504,0.729461,0.70003,64.5882,66.6505,100.432,872,872,302,min_image
63,14.6126,0.526056,1.31519,52.2187,49.6433,109.056,927,927,623,uncappable
64,36.7328,0.297372,0.894849,73.6467,105.411,46.7806,927,927,946,uncappable
65,24.6958,0.50278,0.513757,69.0184,84.5607,49.1529,764,764,373,min_image
66,6.97209,0.922522,1.47701,79.894,66.1446,100.127,901,901,399,min_image
67,16.332,0.226575,0.567465,50.0985,108.576,87.4984,1103,924,250,N_target
68,2.38511,0.243865,1.02473,78.2935,99.0734,78.9264,969,890,250,N_target
