run,E_modulus,func_ratio,cell_surface_coverage,cell_sense_distance,R_func_mean,R_inert_mean,L,N_est,constraint
1,48.1758,0.54472,0.789628,28.0545,58.1716,47.6911,1763,250,N_target
2,42.3993,0.777896,0.588727,49.1425,81.3556,95.0103,2811,250,N_target
3,17.4232,0.511535,0.933007,60.7653,62.9847,108.294,2565,250,N_target
4,45.4995,0.41013,0.826986,74.678,96.2059,72.4477,2675,250,N_target
5,20.508,0.848719,0.881747,20.4882,95.5858,103.662,3239,250,N_target
6,42.8133,0.927714,1.3361,65.2994,67.7474,107.079,2319,251,N_target
7,29.0885,0.72764,1.4574,30.5424,68.0446,76.0659,2343,250,N_target
8,22.8381,0.660791,1.22185,45.5545,53.3814,58.6817,1843,250,N_target
9,26.4547,0.599641,0.543748,63.4471,112.039,54.7953,2489,250,N_target
10,3.99825,0.473863,1.18519,39.4538,44.7817,81.4503,1886,250,N_target
11,37.04,0.300249,1.28066,24.8866,89.5554,66.9617,2409,250,N_target
12,7.22313,0.609863,1.3581,78.0265,85.6366,96.936,2999,250,N_target
13,10.7406,0.362219,0.651561,34.1965,72.2757,114.034,3079,250,N_target
14,13.5426,0.805943,1.05864,72.2629,78.4418,40.0742,2111,250,N_target
15,16.1364,0.326992,1.42117,54.3404,101.314,50.7389,1955,250,N_target
16,32.9366,0.900148,0.96978,57.7113,42.881,63.0408,1477,250,N_target
17,34.2782,0.234389,1.0013,52.2591,111.759,116.581,3866,250,N_target
18,25.6206,0.243218,0.616207,68.1341,48.0968,85.4141,2318,250,N_target
19,38.9539,0.68121,1.13549,36.6495,117.074,89.7529,3546,250,N_target
20,6.65124,0.972894,0.700551,42.7283,106.709,69.7683,3511,250,N_target
