run,E_modulus,func_ratio,cell_surface_coverage,cell_sense_distance,R_func_mean,R_inert_mean,Lxy,Lz,N_est,constraint
1,48.1758,0.54472,0.789628,28.0545,58.1716,47.6911,625,551,250,N_target
2,42.3993,0.777896,0.588727,49.1425,81.3556,95.0103,1034,823,250,N_target
3,17.4232,0.511535,0.933007,60.7653,62.9847,108.294,923,923,320,min_image
4,45.4995,0.41013,0.826986,74.678,96.2059,72.4477,928,861,250,N_target
5,20.508,0.848719,0.881747,20.4882,95.5858,103.662,1234,887,250,N_target
6,42.8133,0.927714,1.3361,65.2994,67.7474,107.079,923,923,401,min_image
7,29.0885,0.72764,1.4574,30.5424,68.0446,76.0659,864,683,250,N_target
8,22.8381,0.660791,1.22185,45.5545,53.3814,58.6817,670,554,250,N_target
9,26.4547,0.599641,0.543748,63.4471,112.039,54.7953,956,956,417,min_image
10,3.99825,0.473863,1.18519,39.4538,44.7817,81.4503,723,723,394,min_image
11,37.04,0.300249,1.28066,24.8866,89.5554,66.9617,834,783,250,N_target
12,7.22313,0.609863,1.3581,78.0265,85.6366,96.936,1106,873,251,N_target
13,10.7406,0.362219,0.651561,34.1965,72.2757,114.034,1057,964,249,N_target
14,13.5426,0.805943,1.05864,72.2629,78.4418,40.0742,725,725,299,min_image
15,16.1364,0.326992,1.42117,54.3404,101.314,50.7389,870,870,603,uncappable
16,32.9366,0.900148,0.96978,57.7113,42.881,63.0408,586,586,396,min_image
17,34.2782,0.234389,1.0013,52.2591,111.759,116.581,1529,983,249,N_target
18,25.6206,0.243218,0.616207,68.1341,48.0968,85.4141,768,768,257,min_image
19,38.9539,0.68121,1.13549,36.6495,117.074,89.7529,1324,987,250,N_target
20,6.65124,0.972894,0.700551,42.7283,106.709,69.7683,1367,910,251,N_target
